pwc_id;pwc_doc_id;FY;Entry_date;GroupDate;Document_Type;Entry_number;Document_number;Source Type;Source_number;Transaction number;System-Created Entry;User;Entry_amount;Document Date;bal_account_number;Journal Batch Name;Account;Debit_account;Credit_account;Job No#;Specialism code;Gen_Posting_Type;Business line code;Gen_Bus_Posting_Group;Gen_Prod_Posting_Group;Bal_Account_Type;Allocated;Allocation From GL Entry No;Allocation Document No;Consultant code;Associate Код;Customer code;Reversed
76492;1646;2018;2018-05-22 00:00:00.000;2018-05-22 00:00:00.000;Payment;1101039;G47537;Customer;КЮЛ-586;291305;Yes;PSHUGA;-311520.00;2018-05-22 00:00:00.000;БАНК001;СИТИ РУБ;62.01;NULL;62.01;;;"      ";;;;Bank Account;No;0;;;;КЮЛ-586;Yes
76506;3404;2018;2018-05-24 00:00:00.000;2018-05-24 00:00:00.000;Payment;1101002;G47524;Customer;КЮЛ-773;291292;Yes;PSHUGA;-107312.00;2018-05-24 00:00:00.000;БАНК001;СИТИ РУБ;62.01;NULL;62.01;;;"      ";;;;Bank Account;No;0;;;;КЮЛ-773;No
72932;7658;2018;2018-12-03 00:00:00.000;2018-12-03 00:00:00.000;Invoice;1284149;2018-2060/СПБ;Customer;00000138;338479;Yes;SAVCHENKOP;-14400.00;2018-12-03 00:00:00.000;;;68.02.01;NULL;68.02.01;2359240;CE450;"      ";P;;;G/L Account;No;0;;215844;А184;00000138;No
72933;2878;2018;2018-03-31 00:00:00.000;2018-03-31 00:00:00.000;"      ";1061664;G05284;Vendor;00001001;281518;No;KOCHETKOVAN;8141.81;2018-03-31 00:00:00.000;00001001;DEFAULT;20.24;20.24;NULL;;CE450;"      ";P;;;Vendor;No;0;;211679;;;No
72946;2878;2018;2018-03-31 00:00:00.000;2018-03-31 00:00:00.000;"      ";1061706;G05284;Vendor;00001001;281532;No;KOCHETKOVAN;7872.10;2018-03-31 00:00:00.000;00001001;DEFAULT;20.24;20.24;NULL;;CE520;"      ";P;;;Vendor;No;0;;214014;;;No
65660;10897;2018;2018-12-31 00:00:00.000;2018-12-31 00:00:00.000;"      ";1300501;G05435;Vendor;00001001;342303;No;NAUMOVAK;14402.25;2018-12-31 00:00:00.000;00001001;DEFAULT;20.24;20.24;NULL;;CE411;"      ";P;;;Vendor;No;0;;209883;;;No
65661;11904;2018;2018-10-01 00:00:00.000;2018-10-01 00:00:00.000;"      ";1226537;ПОСЧ-10-09690;"      ";;325473;Yes;SMIRNOVA;983.40;2018-10-01 00:00:00.000;;;10.06;10.06;NULL;;;"      ";;;;G/L Account;No;0;;;;;No
65663;11904;2018;2018-10-01 00:00:00.000;2018-10-01 00:00:00.000;"      ";1226541;ПОСЧ-10-09690;"      ";;325473;Yes;SMIRNOVA;1154.72;2018-10-01 00:00:00.000;;;10.06;10.06;NULL;;;"      ";;;;G/L Account;No;0;;;;;No
65693;11904;2018;2018-10-01 00:00:00.000;2018-10-01 00:00:00.000;"      ";1226601;ПОСЧ-10-09690;"      ";;325473;Yes;SMIRNOVA;209.75;2018-10-01 00:00:00.000;;;10.06;10.06;NULL;;;"      ";;;;G/L Account;No;0;;;;;No
64892;6804;2018;2018-09-30 00:00:00.000;2018-09-30 00:00:00.000;"      ";1218390;FA9751;"      ";;322879;Yes;KATYA;-58274.97;2018-09-30 00:00:00.000;;FA;20.28.1;NULL;20.28.1;;FA;"      ";P;;;G/L Account;Yes;0;FA9751;207163;;;No
64894;6886;2018;2018-02-05 00:00:00.000;2018-02-05 00:00:00.000;Payment;1018620;G44682;Bank Account;БАНК081;266112;Yes;KOCHETKOVAN;-24382.65;2018-02-05 00:00:00.000;00001758;СИТИ З/П;51.03;NULL;51.03;;;"      ";;;;Vendor;No;0;;;;;No
75202;4724;2018;2018-05-31 00:00:00.000;2018-05-31 00:00:00.000;Payment;1104898;G47931;Bank Account;БАНК081;292786;Yes;KOCHETKOVAN;-14043.48;2018-05-31 00:00:00.000;00000569;СИТИ З/П;51.03;NULL;51.03;;;"      ";;;;Vendor;No;0;;;;;No
